District,Member,Party,Race,Image Link,Voter Margin
60,Fred Shanks,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Fred_Shanks.jpg,1
61,Gene Newman,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Gene_Newman_20230521_075009.jpeg,1
62,Lance Varner,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Lance_Varber.jpeg,1
63,Stephanie Foster,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/AB043A85-7E96-478A-8774-1ADC0800593F.jpeg,1
64,Shanda Yates,Independent,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Shanda_Yates_MS_HD64_updatedheadshot_nologo.jpg,0.622
65,Christopher Bell,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Chris_Bellingham.jpeg,1
66,Fabian Nelson,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/fnelson.JPG,1
67,Earle Banks,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/banks.jpg,1
68,Zakiya Summers,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Zakiya_Summers_headshot.jpg,1
69,Tamarra Butler-Washington,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/TamarraGraceButlerWashington.png,1
70,William Brown,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/William-R-Brown.jpg,1
71,Ronnie Crudup Jr.,Democratic,Black,https://static.votesmart.org/canphoto/186056.jpg,1
72,Justis Gibbs,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/JustisGibbs.jpg,1
73,Jill Ford,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Jill_Ford_3.jpg,1
74,Lee Yancey,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/LeeYancey.jpg,1
75,Celeste Hurst,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/hurstceleste.jpg,0.734
76,Gregory Holloway Sr.,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Gregory_Holloway__Sr.-7_fixed.jpg,0.741
77,Price Wallace,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/pricewallace.jpg,1
78,Randy Rushing,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/rushing.jpg,1
79,Mark Tullos,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/tullos.jpg,1
80,Omeria Scott,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Omeria_Scott.jpg,1
81,Stephen Horne,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/horne.jpg,1
82,Charles Young,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/young.jpg,1
83,Billy Adam Calvert,Republican,White,https://data.openstates.org/images/small/ocd-person/15f21051-d36c-4a2a-aa96-100bb8cb693b,1
84,Troy Smith,Republican,White,https://data.openstates.org/images/small/ocd-person/5ff548a6-827f-4ab7-a4a5-5b510712f6a2,1
85,Jeffery Harness,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/harness.jpg,0.799
86,Shane Barnett,Republican,White,https://billstatus.ls.state.ms.us/members/house/barnett.jpg,0.654
87,Joseph Tubb,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/JosephTubb.jpg,1
88,Charles Blackwell,Republican,White,https://bloximages.newyork1.vip.townnews.com/leader-call.com/content/tncms/assets/v3/editorial/1/87/187e6b2a-3e05-11ee-bb42-933e2e528fdf/64dfd3b16ca2f.image.jpg,1
89,Donnie Scoggin,Republican,White,https://data.openstates.org/images/small/ocd-person/2118023c-ed1d-455f-b3a6-faeefd0e87b5,1
90,Noah Sanford,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Noah_Sanford.jpg,1
91,Bob Evans,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Robert_Evans.jpg,0.661
92,Becky Currie,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Becky_Currie.jpg,1
93,Timmy Ladner,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Timmy_Ladner.jpg,1
94,Robert Johnson III,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Robert_Johnson__III-7_fixed.jpg,1
95,Jay McKnight,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/JayMcKnight1.jpg,1
